"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2015","Dairy cows","State","000 Head","1295.8"
"Number of Livestock in June","2016","Dairy cows","State","000 Head","1397.9"
"Number of Livestock in June","2017","Dairy cows","State","000 Head","1432.7"
"Number of Livestock in June","2018","Dairy cows","State","000 Head","1480.9"
"Number of Livestock in June","2019","Dairy cows","State","000 Head","1504.8"
"Number of Livestock in June","2020","Dairy cows","State","000 Head","1567.7"
"Number of Livestock in June","2021","Dairy cows","State","000 Head","1604.5"
"Number of Livestock in June","2022","Dairy cows","State","000 Head","1627.3"
"Number of Livestock in June","2023","Dairy cows","State","000 Head","1646.6"
"Number of Livestock in June","2024","Dairy cows","State","000 Head","1624"
"Number of Livestock in June","2025","Dairy cows","State","000 Head","1587.9"
