country,year,bovine_pop_1000
Austria,2016,1932.53
Austria,2017,1938.48
Austria,2018,1906.82
Austria,2019,1873.31
Austria,2020,1844.34
Austria,2021,1846.42
Austria,2022,1842.17
Austria,2023,1825.75
Austria,2024,1803.87
Austria,2025,1790.15
Belgium,2016,2554.76
Belgium,2017,2454.1
Belgium,2018,2449.74
Belgium,2019,2406.17
Belgium,2020,2387.91
Belgium,2021,2353.42
Belgium,2022,2240.62
Belgium,2023,2281.39
Belgium,2024,2241.04
Belgium,2025,2112.18
Switzerland,2016,1553.15
Switzerland,2017,1553.15
Switzerland,2018,1528.92
Switzerland,2019,1528.52
Switzerland,2020,1518.79
Switzerland,2021,1521.06
Switzerland,2022,1533.02
Switzerland,2023,1530.47
Switzerland,2024,1531.48
Czechia,2025,1443.23
Germany,2016,12563.18
Germany,2017,12365.5
Germany,2018,12093.38
Germany,2019,11763.43
Germany,2020,11423.46
Germany,2021,11176.24
Germany,2022,10986.3
Germany,2023,10936.8
Germany,2024,10626.83
Germany,2025,10335.33
Denmark,2016,1583.0
Denmark,2017,1565.0
Denmark,2018,1560.0
Denmark,2019,1512.0
Denmark,2020,1517.0
Denmark,2021,1503.0
Denmark,2022,1484.0
Denmark,2023,1453.53
Denmark,2024,1423.02
Denmark,2025,1408.21
Greece,2025,534.2
Spain,2016,6451.22
Spain,2017,6588.11
Spain,2018,6724.58
Spain,2019,6721.9
Spain,2020,6714.97
Spain,2021,6922.95
Spain,2022,6753.7
Spain,2023,6565.3
Spain,2024,6379.09
Spain,2025,6443.28
Finland,2025,764.43
France,2016,19559.3
France,2017,19432.72
France,2018,18736.99
France,2019,18469.77
France,2020,18200.48
France,2021,17862.57
France,2022,17415.61
France,2023,17038.99
France,2024,16793.65
France,2025,16395.12
Hungary,2025,888.5
Ireland,2016,7221.2
Ireland,2017,7363.5
Ireland,2018,7348.5
Ireland,2019,7208.62
Ireland,2020,7314.43
Ireland,2021,7358.88
Ireland,2022,7396.15
Ireland,2023,7341.48
Ireland,2024,7183.13
Ireland,2025,6904.82
Iceland,2016,79.9
Iceland,2017,80.9
Iceland,2019,80.94
Iceland,2020,85.21
Iceland,2021,80.47
Italy,2016,6183.18
Italy,2017,6118.29
Italy,2018,6170.29
Italy,2019,6016.06
Italy,2020,6115.87
Italy,2021,6173.66
Italy,2022,6086.97
Italy,2023,5975.0
Italy,2024,5892.0
Italy,2025,5801.0
Lithuania,2025,616.45
Netherlands,2016,4244.52
Netherlands,2017,4096.11
Netherlands,2018,3897.13
Netherlands,2019,3749.97
Netherlands,2020,3766.3
Netherlands,2021,3731.75
Netherlands,2022,3766.14
Netherlands,2023,3751.78
Netherlands,2024,3693.0
Netherlands,2025,3551.84
Poland,2016,5939.0
Poland,2017,6143.0
Poland,2018,6201.0
Poland,2019,6358.0
Poland,2020,6344.0
Poland,2021,6401.0
Poland,2022,6444.09
Poland,2023,6359.68
Poland,2024,6335.85
Poland,2025,6147.24
Portugal,2016,1664.19
Portugal,2017,1722.16
Portugal,2018,1722.37
Portugal,2019,1711.86
Portugal,2020,1750.58
