country,year,cheese_prod_1000t
Albania,2014,11.94
Albania,2015,13.5
Albania,2016,14.3
Albania,2017,14.7
Albania,2018,14.6
Albania,2019,13.6
Albania,2020,11.71
Albania,2021,13.11
Albania,2022,12.62
Albania,2023,11.64
Albania,2024,10.49
Austria,2013,157.76
Austria,2014,172.44
Austria,2015,184.87
Austria,2016,194.98
Austria,2017,201.75
Austria,2018,202.47
Austria,2019,205.48
Austria,2020,206.4
Austria,2021,215.59
Austria,2022,222.67
Austria,2023,227.69
Austria,2024,234.89
Belgium,2013,79.43
Belgium,2014,84.79
Belgium,2015,103.05
Belgium,2016,110.24
Belgium,2017,118.97
Belgium,2018,116.79
Belgium,2019,114.86
Belgium,2020,113.86
Belgium,2021,116.72
Belgium,2022,119.68
Belgium,2023,133.45
Belgium,2024,147.2
Bulgaria,2013,67.62
Bulgaria,2014,77.4
Bulgaria,2015,76.8
Bulgaria,2016,79.56
Bulgaria,2017,89.4
Bulgaria,2018,91.9
Bulgaria,2019,99.95
Bulgaria,2020,103.39
Bulgaria,2021,101.46
Bulgaria,2022,97.6
Bulgaria,2023,98.3
Bulgaria,2024,91.3
Switzerland,2013,182.71
Switzerland,2014,185.34
Switzerland,2015,188.81
Switzerland,2016,184.9
Switzerland,2017,189.29
Switzerland,2018,191.31
Switzerland,2019,195.11
Switzerland,2020,203.81
Switzerland,2021,206.71
Switzerland,2022,202.79
Switzerland,2023,197.46
Switzerland,2024,205.04
Cyprus,2013,19.85
Cyprus,2014,19.99
Cyprus,2015,23.18
Cyprus,2016,26.6
Cyprus,2017,27.79
Cyprus,2018,27.93
Cyprus,2019,32.06
Cyprus,2020,35.17
Cyprus,2021,38.79
Cyprus,2022,37.47
Cyprus,2023,40.84
Cyprus,2024,42.55
Czechia,2013,117.79
Czechia,2014,116.64
Czechia,2015,123.01
Czechia,2016,141.72
Czechia,2017,145.06
Czechia,2018,130.79
Czechia,2019,134.34
Czechia,2020,151.27
Czechia,2021,157.09
Czechia,2022,175.03
Czechia,2023,164.46
Czechia,2024,183.03
Germany,2013,2226.38
Germany,2014,2276.16
Germany,2015,2238.09
Germany,2016,2233.96
Germany,2017,2216.55
Germany,2018,2245.8
Germany,2019,2297.4
Germany,2020,2355.12
Germany,2021,2360.9
Germany,2022,2334.21
Germany,2023,2360.52
Germany,2024,2433.32
Denmark,2013,324.9
Denmark,2014,368.9
Denmark,2015,391.3
Denmark,2016,428.0
Denmark,2017,450.5
Denmark,2018,452.0
Denmark,2019,457.0
Denmark,2020,467.7
Denmark,2021,454.5
Denmark,2022,466.5
Denmark,2023,496.7
Denmark,2024,517.9
Estonia,2013,43.83
Estonia,2014,40.53
Estonia,2015,43.1
Estonia,2016,43.29
Estonia,2017,44.4
Estonia,2018,44.83
Estonia,2019,47.29
Estonia,2020,46.18
Estonia,2021,47.36
Estonia,2022,48.45
Estonia,2023,51.57
Estonia,2024,65.85
Greece,2013,187.0
Greece,2014,190.0
Greece,2015,188.3
Greece,2016,203.8
Greece,2017,218.8
Greece,2018,219.3
Greece,2019,207.43
Greece,2020,228.19
Greece,2021,237.82
Greece,2022,242.86
Greece,2023,251.72
Greece,2024,255.72
Spain,2013,314.9
Spain,2014,387.74
Spain,2015,452.05
Spain,2016,460.92
Spain,2017,481.12
Spain,2018,474.68
Spain,2019,442.23
Spain,2020,471.84
Spain,2021,548.31
Spain,2022,538.21
Spain,2023,534.34
Spain,2024,538.31
European Union - 27 countries (from 2020),2014,
European Union - 27 countries (from 2020),2015,
European Union - 27 countries (from 2020),2016,
European Union - 27 countries (from 2020),2017,
European Union - 27 countries (from 2020),2018,
European Union - 27 countries (from 2020),2019,
European Union - 27 countries (from 2020),2020,
European Union - 27 countries (from 2020),2021,
European Union - 27 countries (from 2020),2022,
European Union - 27 countries (from 2020),2023,
European Union - 27 countries (from 2020),2024,
Finland,2013,102.37
Finland,2014,
Finland,2015,88.44
Finland,2016,83.82
Finland,2017,
Finland,2018,
Finland,2019,
Finland,2020,
Finland,2021,
Finland,2022,
Finland,2023,
Finland,2024,
France,2013,1946.64
France,2014,1946.31
France,2015,1949.83
France,2016,1918.97
France,2017,1919.57
France,2018,1907.76
France,2019,1903.29
France,2020,1862.1
France,2021,1879.63
France,2022,1913.64
France,2023,1907.07
France,2024,1920.57
Croatia,2013,32.64
Croatia,2014,32.2
Croatia,2015,33.97
Croatia,2016,36.08
Croatia,2017,34.68
Croatia,2018,31.02
Croatia,2019,33.78
Croatia,2020,31.78
Croatia,2021,32.75
Croatia,2022,33.61
Croatia,2023,33.0
Croatia,2024,31.55
Hungary,2013,68.0
Hungary,2014,74.79
Hungary,2015,80.46
Hungary,2016,80.45
Hungary,2017,87.38
Hungary,2018,83.67
Hungary,2019,86.13
Hungary,2020,94.08
Hungary,2021,95.55
Hungary,2022,92.78
Hungary,2023,85.19
Hungary,2024,91.17
Ireland,2013,182.8
Ireland,2014,188.42
Ireland,2015,207.1
Ireland,2016,206.1
Ireland,2017,219.9
Ireland,2018,225.4
Ireland,2019,278.4
Ireland,2020,285.4
Ireland,2021,286.9
Ireland,2022,282.5
Ireland,2023,284.9
Ireland,2024,271.2
Italy,2013,1157.74
Italy,2014,1176.02
Italy,2015,1206.67
Italy,2016,1232.23
Italy,2017,1261.13
Italy,2018,1308.03
Italy,2019,1327.3
Italy,2020,1344.69
Italy,2021,1374.23
Italy,2022,1359.08
Italy,2023,1344.11
Italy,2024,1358.59
Lithuania,2013,113.05
Lithuania,2014,102.51
Lithuania,2015,100.96
Lithuania,2016,97.5
Lithuania,2017,99.57
Lithuania,2018,101.05
Lithuania,2019,97.85
Lithuania,2020,100.61
Lithuania,2021,97.88
Lithuania,2022,93.98
Lithuania,2023,95.58
Lithuania,2024,101.76
Luxembourg,2013,
Luxembourg,2014,
Luxembourg,2015,
Luxembourg,2016,
Luxembourg,2017,3.21
Luxembourg,2018,2.77
Luxembourg,2019,
Luxembourg,2020,
Luxembourg,2021,
Luxembourg,2022,
Luxembourg,2023,
Luxembourg,2024,
Latvia,2014,34.74
Latvia,2015,38.38
Latvia,2016,38.63
Latvia,2017,46.35
Latvia,2018,47.42
Latvia,2019,50.51
Latvia,2020,51.91
Latvia,2021,52.42
Latvia,2022,50.61
Latvia,2023,56.49
Latvia,2024,56.7
Montenegro,2013,1.0
Montenegro,2015,0.8
Montenegro,2016,1.2
Montenegro,2017,1.2
Montenegro,2018,1.3
Montenegro,2019,1.78
North Macedonia,2018,13.07
Malta,2013,
Malta,2014,
Malta,2015,
Malta,2016,
Malta,2017,
Malta,2018,
Malta,2019,
Malta,2020,
Malta,2021,
Malta,2022,
Malta,2023,
Malta,2024,
Netherlands,2013,814.67
Netherlands,2014,771.92
Netherlands,2015,870.0
Netherlands,2016,911.0
Netherlands,2017,896.0
Netherlands,2018,902.0
Netherlands,2019,953.26
Netherlands,2020,999.6
Netherlands,2021,984.05
Netherlands,2022,973.58
Netherlands,2023,1019.24
Netherlands,2024,1009.16
Norway,2014,106.1
Norway,2015,103.8
Norway,2016,99.8
Norway,2017,99.0
Norway,2018,102.2
Norway,2019,96.1
Norway,2020,99.9
Norway,2021,99.6
Norway,2022,93.0
Norway,2023,96.7
Norway,2024,106.8
Poland,2013,732.28
Poland,2014,743.74
Poland,2015,772.67
Poland,2016,805.99
Poland,2017,840.63
Poland,2018,855.59
Poland,2019,867.95
Poland,2020,893.78
Poland,2021,919.71
Poland,2022,925.74
Poland,2023,976.16
Poland,2024,1024.1
Portugal,2013,69.95
Portugal,2014,73.37
Portugal,2015,73.34
Portugal,2016,75.03
Portugal,2017,78.62
Portugal,2018,80.14
Portugal,2019,84.48
Portugal,2020,80.74
Portugal,2021,83.64
Portugal,2022,86.85
Portugal,2023,82.01
Portugal,2024,87.06
Romania,2013,70.48
Romania,2014,74.65
Romania,2015,81.65
Romania,2016,87.58
Romania,2017,91.07
Romania,2018,96.24
Romania,2019,96.4
Romania,2020,97.36
Romania,2021,98.82
Romania,2022,102.79
Romania,2023,102.43
Romania,2024,109.95
Serbia,2014,33.75
Serbia,2015,40.74
Serbia,2016,44.36
Serbia,2017,50.09
Serbia,2018,53.1
Serbia,2020,53.37
Serbia,2021,53.3
Serbia,2022,51.23
Serbia,2023,47.81
Serbia,2024,52.38
Sweden,2013,88.97
Sweden,2014,88.12
Sweden,2015,90.24
Sweden,2016,87.25
Sweden,2017,82.66
Sweden,2018,81.84
Sweden,2019,81.7
Sweden,2020,83.48
Sweden,2021,84.2
Sweden,2022,78.47
Sweden,2023,79.44
Sweden,2024,82.24
Slovenia,2013,15.98
Slovenia,2014,16.64
Slovenia,2015,15.16
Slovenia,2016,15.22
Slovenia,2017,16.59
Slovenia,2018,16.23
Slovenia,2019,15.8
Slovenia,2020,15.56
Slovenia,2021,15.48
Slovenia,2022,15.83
Slovenia,2023,15.46
Slovenia,2024,16.83
Slovakia,2013,32.92
Slovakia,2014,33.27
Slovakia,2015,35.76
Slovakia,2016,38.29
Slovakia,2017,40.31
Slovakia,2018,42.72
Slovakia,2019,43.3
Slovakia,2020,43.29
Slovakia,2021,44.34
Slovakia,2022,42.28
Slovakia,2023,
Slovakia,2024,45.85
Türkiye,2013,598.92
Türkiye,2014,631.1
Türkiye,2015,665.8
Türkiye,2016,657.7
Türkiye,2017,687.2
Türkiye,2018,753.2
Türkiye,2019,696.8
