country,year,dairy_cow_pop_1000
Albania,2014,357.78
Albania,2015,357.52
Albania,2016,353.05
Albania,2017,346.41
Albania,2018,339.94
Albania,2019,313.89
Albania,2020,287.17
Albania,2021,275.58
Albania,2022,260.96
Albania,2023,230.68
Albania,2024,222.82
Austria,2014,537.74
Austria,2015,534.1
Austria,2016,539.87
Austria,2017,543.42
Austria,2018,532.87
Austria,2019,524.07
Austria,2020,524.78
Austria,2021,526.46
Austria,2022,550.55
Austria,2023,543.03
Austria,2024,535.81
Austria,2025,536.22
Bosnia and Herzegovina,2014,216.0
Bosnia and Herzegovina,2015,217.0
Bosnia and Herzegovina,2016,215.0
Bosnia and Herzegovina,2017,206.0
Bosnia and Herzegovina,2018,200.0
Bosnia and Herzegovina,2019,193.0
Bosnia and Herzegovina,2020,191.0
Bosnia and Herzegovina,2021,147.44
Bosnia and Herzegovina,2022,148.52
Bosnia and Herzegovina,2023,147.47
Belgium,2014,519.09
Belgium,2015,528.78
Belgium,2016,530.59
Belgium,2017,519.16
Belgium,2018,529.25
Belgium,2019,537.96
Belgium,2020,537.94
Belgium,2021,537.25
Belgium,2022,543.68
Belgium,2023,535.55
Belgium,2024,518.36
Belgium,2025,522.55
Bulgaria,2014,301.71
Bulgaria,2015,282.96
Bulgaria,2016,278.92
Bulgaria,2017,260.78
Bulgaria,2018,244.36
Bulgaria,2019,226.69
Bulgaria,2020,241.94
Bulgaria,2021,230.34
Bulgaria,2022,212.84
Bulgaria,2023,202.41
Bulgaria,2024,189.59
Bulgaria,2025,184.6
Switzerland,2015,579.88
Switzerland,2016,572.34
Switzerland,2017,567.38
Switzerland,2018,557.36
Switzerland,2019,551.76
Switzerland,2020,541.75
Switzerland,2021,540.72
Switzerland,2022,533.03
Switzerland,2023,524.36
Switzerland,2024,520.01
Switzerland,2025,521.32
Cyprus,2014,25.33
Cyprus,2015,26.19
Cyprus,2016,28.46
Cyprus,2017,30.16
Cyprus,2018,31.88
Cyprus,2019,35.02
Cyprus,2020,39.49
Cyprus,2021,38.92
Cyprus,2022,38.22
Cyprus,2023,38.66
Cyprus,2024,38.7
Cyprus,2025,39.72
Czechia,2014,372.39
Czechia,2015,369.06
Czechia,2016,367.31
Czechia,2017,365.46
Czechia,2018,358.6
Czechia,2019,361.43
Czechia,2020,357.01
Czechia,2021,362.35
Czechia,2022,356.65
Czechia,2023,357.66
Czechia,2024,360.02
Czechia,2025,342.59
Germany,2014,4295.68
Germany,2015,4284.64
Germany,2016,4217.7
Germany,2017,4199.01
Germany,2018,4100.86
Germany,2019,4011.67
Germany,2020,3921.41
Germany,2021,3832.72
Germany,2022,3809.72
Germany,2023,3712.82
Germany,2024,3589.43
Germany,2025,3596.63
Denmark,2014,547.0
Denmark,2015,570.0
Denmark,2016,565.0
