country,year,cap_direct_payments_million_eur
Bulgaria,2020,843.155562
Croatia,2021,364.842356
France,2019,6909.822851
Finland,2015,522.194553
Czechia,2022,854.590619
Romania,2022,1926.783562
Portugal,2017,665.007652
Italy,2018,3633.577996
Slovenia,2014,135.982928
France,2021,6853.567799
Luxembourg,2019,32.841037
Finland,2020,517.274235
Lithuania,2022,582.978217
Romania,2020,1883.694891
Romania,2018,1847.389334
Romania,2021,1889.428934
Finland,2018,523.063094
Cyprus,2017,49.444714
Lithuania,2018,468.921252
Czechia,2014,882.457471
Croatia,2022,399.114103
Slovenia,2016,135.770967
Ireland,2017,1197.015135
Slovenia,2020,132.50272
Lithuania,2015,409.894533
Romania,2017,1774.565555
Cyprus,2014,51.135162
Luxembourg,2021,32.990921
Bulgaria,2016,774.080205
Cyprus,2015,49.788828
France,2017,7193.521695
Bulgaria,2022,803.493011
Lithuania,2014,393.738758
Italy,2021,3543.905592
Romania,2016,1690.659153
Bulgaria,2021,789.168856
Lithuania,2017,462.508695
Finland,2014,524.997048
Italy,2019,3599.133346
Bulgaria,2019,781.855246
Italy,2022,3551.963907
Italy,2020,3554.260058
Czechia,2021,844.353221
Lithuania,2021,568.368261
Finland,2019,523.449607
Belgium,2017,501.448102
Croatia,2018,278.851116
Finland,2017,523.458826
Czechia,2019,855.831835
Romania,2015,1521.315445
Lithuania,2019,480.491609
Luxembourg,2016,33.311178
Finland,2022,523.401372
Slovenia,2021,131.759655
Italy,2016,3794.981101
Lithuania,2020,510.168758
Croatia,2016,198.894584
Croatia,2019,317.33751
Croatia,2020,347.683759
Czechia,2016,837.551104
Romania,2019,1912.460704
Finland,2016,523.377967
Romania,2014,1418.925612
Czechia,2020,852.297702
Slovenia,2018,134.688867
Sweden,2017,685.649771
Slovenia,2019,133.868529
Czechia,2018,854.32587
Slovenia,2022,131.96426
France,2016,7365.411808
Bulgaria,2018,785.323742
Sweden,2016,685.730773
Finland,2021,517.20929
Czechia,2015,834.00854
Estonia,2016,113.911721
Spain,2020,5055.994497
Denmark,2017,827.449789
Bulgaria,2015,705.306488
Spain,2018,5101.417587
Ireland,2021,1179.668934
Slovakia,2014,431.27117
Hungary,2022,1282.920506
Spain,2022,5073.638237
Ireland,2018,1200.388737
Estonia,2022,194.866392
Netherlands,2014,799.640223
Spain,2016,5063.903167
Italy,2015,3833.811707
Greece,2017,2043.837879
Slovakia,2015,425.429109
Austria,2015,686.37788
Estonia,2021,189.820996
Spain,2021,5041.221857
Estonia,2019,142.535529
Ireland,2019,1201.193657
Austria,2014,703.941404
Spain,2019,5125.092517
Estonia,2020,165.447146
Netherlands,2015,725.516364
Estonia,2018,133.043733
Denmark,2015,852.260873
