country,year,agri_output_basic_price_million_eur,agri_output_producer_price_million_eur,agri_subsidies_million_eur,agri_taxes_million_eur
Austria,2016,7000.76,7002.95,5.8,7.99
Austria,2017,7441.7,7441.23,7.21,6.74
Austria,2018,7500.74,7505.15,3.74,8.14
Austria,2019,7590.3,7595.23,3.72,8.65
Austria,2020,7720.12,7721.69,6.73,8.3
Austria,2021,8631.24,8632.89,6.77,8.42
Austria,2022,10569.88,10571.98,6.74,8.83
Austria,2023,10192.3,10193.57,7.95,9.21
Austria,2024,9932.14,9932.18,8.18,8.23
Austria,2025,10891.23,10891.55,7.3,7.62
Belgium,2016,8064.21,7992.41,75.0,3.2
Belgium,2017,8472.3,8374.56,102.93,5.19
Belgium,2018,8304.81,8247.35,62.04,4.59
Belgium,2019,8864.29,8785.03,88.89,9.63
Belgium,2020,8994.21,8913.74,93.57,13.1
Belgium,2021,10061.75,9983.41,87.52,9.19
Belgium,2022,11694.11,11624.86,78.77,9.53
Belgium,2023,11796.61,11739.22,70.77,13.39
Belgium,2024,11745.93,11697.48,67.98,19.53
Belgium,2025,11930.93,11884.94,67.98,21.98
Bulgaria,2016,3902.63,3766.39,136.25,
Bulgaria,2017,4082.76,3959.82,122.93,
Bulgaria,2018,4183.78,4051.88,131.9,
Bulgaria,2019,4210.5,4075.14,135.35,
Bulgaria,2020,4021.96,3884.35,137.6,
Bulgaria,2021,5533.07,5405.2,127.87,0.0
Bulgaria,2022,6596.76,6467.0,129.76,0.0
Bulgaria,2023,5396.45,5269.81,126.63,0.0
Bulgaria,2024,4963.34,4830.97,132.37,0.0
Bulgaria,2025,5200.49,5063.51,136.97,0.0
Croatia,2016,2183.63,2114.34,69.3,
Croatia,2017,2203.85,2126.03,77.82,
Croatia,2018,2333.15,2247.09,86.05,
Croatia,2019,2423.46,2328.63,94.83,
Croatia,2020,2422.11,2314.82,107.3,
Croatia,2021,2747.98,2645.91,102.08,
Croatia,2022,3245.19,3165.72,79.47,
Croatia,2023,2840.33,2728.92,111.41,0.0
Croatia,2024,3088.98,2962.36,126.62,0.0
Croatia,2025,3171.29,3078.13,93.15,0.0
Cyprus,2016,678.65,678.65,0.0,0.0
Cyprus,2017,723.41,723.41,0.0,0.0
Cyprus,2018,714.25,714.25,0.0,0.0
Cyprus,2019,742.54,738.51,4.03,0.0
Cyprus,2020,753.25,749.74,3.51,0.0
Cyprus,2021,789.57,785.82,3.75,0.0
Cyprus,2022,822.35,818.53,3.81,0.0
Cyprus,2023,915.88,911.66,4.21,0.0
Cyprus,2024,929.98,925.83,4.15,0.0
Cyprus,2025,900.2,896.32,3.88,0.0
Czechia,2016,4918.63,4810.28,108.35,
Czechia,2017,5085.03,4997.1,87.93,
Czechia,2018,5304.33,5221.41,82.91,
Czechia,2019,5495.35,5422.05,73.3,
Czechia,2020,5632.71,5548.35,84.36,
Czechia,2021,6520.99,6420.97,100.03,
Czechia,2022,7809.85,7711.55,98.3,
Czechia,2023,7365.02,7291.12,73.9,0.0
Czechia,2024,6954.4,6878.68,75.72,0.0
Czechia,2025,7832.16,7756.75,75.4,0.0
Denmark,2016,10042.52,10009.15,33.38,0.0
Denmark,2017,11200.32,11176.29,24.03,0.0
Denmark,2018,10508.91,10484.76,24.15,0.0
Denmark,2019,11133.88,11109.77,24.11,
Denmark,2020,11720.36,11687.5,32.87,
Denmark,2021,11751.53,11718.58,32.94,
Denmark,2022,13962.09,13929.15,32.94,0.0
Denmark,2023,12714.13,12678.57,35.56,0.0
Denmark,2024,12613.07,12566.82,46.24,0.0
Denmark,2025,13665.18,13629.16,36.03,0.0
Estonia,2016,749.73,741.15,8.58,0.0
Estonia,2017,885.85,861.71,24.15,0.0
Estonia,2018,859.23,851.11,8.12,
Estonia,2019,997.64,990.22,7.42,
Estonia,2020,995.34,987.89,7.45,
Estonia,2021,1129.16,1106.61,22.55,
Estonia,2022,1630.46,1607.36,23.1,0.0
Estonia,2023,1312.78,1284.4,28.38,0.0
Estonia,2024,1311.77,1283.08,28.69,0.0
Estonia,2025,1467.85,1426.41,41.44,0.0
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,309066.54,305741.6,3678.66,353.71
