country,year,milk_prod_1000t,butter_prod_1000t,cheese_prod_1000t,milk_powder_prod_1000t,dairy_cow_pop_1000,bovine_pop_1000,farmers_selling_price_100kg,cream_direct_consumption_1000t,processed_drinking_milk_1000t,milk_delivered_to_dairies_1000t,non_salaried_labour_awu,salaried_labour_awu,total_labour_awu,agri_output_basic_price_million_eur,agri_output_producer_price_million_eur,agri_subsidies_million_eur,agri_taxes_million_eur,Butter of cow milk_Export quantity_t,Butter of cow milk_Export value_1000 USD,Butter of cow milk_Import quantity_t,Butter of cow milk_Import value_1000 USD,Cheese from whole cow milk_Export quantity_t,Cheese from whole cow milk_Export value_1000 USD,Cheese from whole cow milk_Import quantity_t,Cheese from whole cow milk_Import value_1000 USD,Raw milk of cattle_Export quantity_t,Raw milk of cattle_Export value_1000 USD,Raw milk of cattle_Import quantity_t,Raw milk of cattle_Import value_1000 USD,Whole milk powder_Export quantity_t,Whole milk powder_Export value_1000 USD,Whole milk powder_Import quantity_t,Whole milk powder_Import value_1000 USD,cap_direct_payments_eur
France,2016,26065.89,434.23,1918.97,516.27,3637.02,19559.3,31.1,478.85,3294.44,24453.33,474.29,278.62,752.91,70485.7,69325.72,1177.61,17.62,74702.85,334064.0,174665.46,583959.0,601700.26,2917472.0,295365.18,1377085.0,827774.68,394645.0,267741.96,161375.0,85313.31,259515.0,35739.69,95770.0,7365411808.0
France,2017,26006.31,412.72,1919.57,504.57,3596.84,19432.72,,502.89,3229.51,24629.49,464.81,280.85,745.66,73152.38,72010.93,1158.49,17.04,74807.4,440864.0,187257.55,974837.0,609827.27,3060918.0,313756.02,1602319.0,695073.17,387469.0,220518.76,167175.0,81144.07,295481.0,36003.52,107764.0,7193521695.0
France,2018,26022.5,417.41,1907.76,451.82,3554.23,18736.99,,503.07,3102.61,24542.54,456.86,284.22,741.08,78139.89,77016.54,1139.1,15.76,72418.78,487249.0,194351.93,1144286.0,610659.0,3271157.0,328026.73,1752015.0,713772.41,384316.0,162278.98,139781.0,73302.5,274410.0,39473.85,117547.0,6934972034.0
France,2019,26036.29,419.22,1903.29,470.06,3490.81,18469.77,,514.13,3007.98,24526.3,446.71,288.2,734.92,77792.69,76644.78,1147.91,0.0,73951.09,453927.0,195972.6,912672.0,615934.55,3117875.0,342807.35,1771316.0,606901.07,331104.0,165966.35,141125.0,68567.23,253199.0,45350.27,131657.0,6909822851.0
France,2020,26288.53,417.54,1862.1,486.48,3405.68,18200.48,,535.13,3067.96,24602.21,428.66,289.15,717.81,75101.33,73925.06,1176.26,0.0,74614.45,439690.0,180900.36,727462.0,594873.13,3150066.0,364870.43,1937528.0,599534.18,328154.0,135087.36,122292.0,76865.78,290181.0,36569.6,117665.0,6807765730.0
France,2021,25829.08,410.18,1879.63,466.84,3322.03,17862.57,,547.75,2802.19,24199.49,421.49,293.03,714.52,81310.16,80129.57,1180.59,0.0,78835.92,509766.0,189875.55,878179.0,606291.4,3391589.0,470940.94,2191978.0,442582.7,273843.0,97933.77,102953.0,84336.88,335603.0,35341.31,116134.0,6853567799.0
France,2022,25681.54,412.73,1913.64,447.71,3230.86,17415.61,,547.44,2687.18,24056.73,413.89,308.52,722.41,97269.11,96045.71,1223.4,0.0,82712.2,618859.0,205238.92,1368878.0,605330.37,3419354.0,416478.21,2520356.0,461072.78,321831.0,101347.46,164705.0,75337.31,347671.0,30425.46,125156.0,6903069499.0
France,2023,25050.5,403.97,1907.07,433.69,3164.6,17038.99,,561.58,2674.92,23435.15,395.96,307.89,703.85,96984.88,95804.68,1180.2,0.0,85628.72,643049.0,225114.62,1257753.0,601111.6,3806924.0,438862.54,2821118.0,428382.58,319971.0,116125.19,218583.0,71293.98,352044.0,31986.9,124051.0,
France,2024,25244.57,398.08,1920.57,439.67,3075.18,16793.65,,578.46,2654.03,23744.12,385.17,314.61,699.78,88307.98,87184.88,1123.1,0.0,100935.22,797442.0,211487.85,1453895.0,632617.85,3922171.0,467456.41,2961269.0,480535.6,326133.0,109834.46,205112.0,64066.17,300939.0,29211.32,110981.0,
France,2025,,,,,2984.0,16395.12,,571.29,2518.49,24204.87,374.77,321.53,696.3,90844.1,89714.13,1129.97,0.0,,,,,,,,,,,,,,,,,
Germany,2016,32687.64,506.93,2233.96,693.69,4217.7,12563.18,27.2,585.99,4993.06,31972.73,267.9,212.1,480.0,54163.0,54180.0,,17.0,132487.97,467104.0,129519.45,440562.0,1082544.68,3361817.0,779723.58,3701650.0,2233207.16,888600.0,2217041.44,752972.0,65694.18,207353.0,45513.76,119681.0,4846569478.0
Germany,2017,32614.17,488.11,2216.55,708.0,4199.01,12365.5,35.1,577.99,4743.28,31937.03,264.76,212.84,477.6,58981.88,58981.88,,,128374.26,688034.0,144396.34,702085.0,1115882.96,4070574.0,789188.72,4140454.0,1813004.64,903578.0,2777928.3,1179010.0,68520.2,250097.0,38763.2,125952.0,4815138717.0
Germany,2018,33109.66,474.88,2245.8,713.91,4100.86,12093.38,34.72,552.21,4646.12,32490.94,261.65,212.35,474.0,55149.04,55149.04,,,119190.35,691452.0,143709.66,814325.0,1131103.58,4202263.0,798713.47,4396436.0,1611315.82,783874.0,2353680.09,1007704.0,64898.96,234932.0,39451.76,124599.0,4794347836.0
Germany,2019,33102.57,490.65,2297.4,707.61,4011.67,11763.43,33.7,554.41,4522.96,32442.21,254.34,216.66,471.0,60516.08,60516.08,,,137157.53,633853.0,145605.61,703497.0,1167201.67,4143603.0,834778.75,4340684.0,1729352.68,825129.0,2647279.43,1066258.0,64280.49,226084.0,38888.37,128299.0,4768122546.0
Germany,2020,33188.89,497.3,2355.12,725.01,3921.41,11423.46,33.56,529.98,4566.07,32548.98,250.98,218.02,469.0,58832.58,58832.58,,,135004.02,560440.0,170982.21,692708.0,1207654.87,4381951.0,858804.65,4584582.0,1565156.5,773618.0,2445784.79,1009829.0,59369.79,220093.0,42098.32,144889.0,4615144863.0
Germany,2021,32531.56,461.68,2360.9,666.39,3832.72,11176.24,36.4,544.39,4379.69,31942.32,248.0,220.0,468.0,61590.27,61590.27,,,131777.33,643606.0,183963.56,816745.0,1248738.12,4890791.0,882602.58,4964665.0,1594746.47,859058.0,2481020.19,1140223.0,62756.66,245754.0,40604.64,157125.0,4615529013.0
Germany,2022,32421.62,459.18,2334.21,684.64,3809.72,10986.3,53.64,525.33,4102.76,31947.42,242.48,221.35,463.83,77923.88,77923.88,,,120425.73,804266.0,125392.57,772933.0,1206931.36,5713647.0,855797.32,5202319.0,1253537.84,819514.0,2566176.2,1463564.0,83858.9,379643.0,43162.03,201678.0,4552327449.0
Germany,2023,34033.75,468.88,2360.52,676.78,3712.82,10936.8,46.09,521.46,4031.86,32423.69,245.0,218.74,463.74,76338.18,76338.18,0.0,0.0,132759.53,752612.0,133273.06,789260.0,1304138.37,5919432.0,867624.88,5589304.0,1559006.54,947638.0,2894229.63,1580963.0,82706.33,363599.0,46564.62,203149.0,
Germany,2024,33792.59,477.45,2433.32,659.57,3589.43,10626.83,48.72,527.48,3985.71,32124.7,226.19,227.0,453.19,75468.66,75468.66,0.0,0.0,130293.27,895005.0,117636.95,755269.0,1330989.11,6195032.0,926744.08,5866938.0,1625080.18,1017895.0,2902602.91,1587870.0,75967.7,338400.0,42552.15,178808.0,
Germany,2025,,,,,3596.63,10335.33,,512.06,3880.93,32493.05,224.11,225.11,449.21,78659.57,78659.57,0.0,0.0,,,,,,,,,,,,,,,,,
Ireland,2016,6871.94,229.8,206.1,393.3,1295.23,7221.2,27.25,16.41,542.75,6851.63,147.5,13.2,160.7,7444.21,7437.1,55.87,48.75,187417.71,610323.0,6725.2,19583.0,207383.6,671541.0,49558.39,184321.0,18171.62,16333.0,541866.84,165602.0,53115.85,128216.0,4086.81,8043.0,1208265278.0
Ireland,2017,7498.94,257.5,219.9,442.9,1343.3,7363.5,36.31,16.75,554.12,7475.42,144.5,14.76,159.26,8533.21,8522.2,60.51,49.5,200899.33,1018985.0,5321.43,20680.0,215317.83,823062.0,56780.53,229619.0,37717.52,28321.0,697172.67,267753.0,70958.65,216079.0,12455.98,12458.0,1197015135.0
Ireland,2018,7831.25,270.3,225.4,463.0,1369.1,7348.5,33.87,19.94,552.76,7810.24,142.5,15.92,158.42,8657.61,8643.76,65.1,51.25,220803.1,1298177.0,8639.51,40966.0,212985.09,864862.0,63987.7,264160.0,32220.83,26724.0,757810.96,299722.0,59971.16,184875.0,21590.2,17354.0,1200388737.0
Ireland,2019,8244.87,284.6,278.4,497.8,1425.76,7208.62,32.53,20.95,549.42,8226.62,140.5,17.28,157.78,8498.24,8398.71,150.63,51.1,258903.46,1212422.0,11998.48,20530.0,291636.73,1061333.0,68927.52,265627.0,30433.21,24388.0,639990.45,231628.0,56933.92,174046.0,17002.32,17793.0,1201193657.0
Ireland,2020,8561.47,293.9,285.4,522.7,1456.05,7314.43,33.03,18.84,541.11,8542.27,138.0,18.94,156.94,8930.9,8833.38,147.18,49.66,292885.07,1125066.0,19849.77,78021.0,271983.27,1091329.0,74801.34,283494.0,144609.23,63819.0,615152.85,229275.0,74473.57,226654.0,11814.58,20406.0,1180915413.0
Ireland,2021,9039.99,305.9,286.9,516.2,1505.27,7358.88,38.31,25.99,521.48,9018.37,138.0,18.94,156.94,10133.24,10093.06,90.08,49.9,277581.07,1259379.0,18918.7,69098.0,264765.36,1218459.0,83689.37,248517.0,150538.03,82245.0,546759.19,241615.0,56585.59,200063.0,2703.97,6729.0,1179668934.0
Ireland,2022,9108.28,299.4,282.5,600.9,1510.31,7396.15,57.24,31.65,518.23,9086.73,138.0,18.94,156.94,12920.56,12883.75,89.1,52.29,233702.05,1729277.0,7336.5,43857.0,249594.5,1326090.0,64146.77,298180.0,165349.93,96805.0,625655.92,353419.0,48020.58,220760.0,2160.03,8875.0,1185031845.0
Ireland,2023,8730.71,299.3,284.9,528.4,1510.86,7341.48,41.29,,512.56,8709.56,145.36,21.89,167.25,11444.47,11411.96,84.95,52.43,242820.92,1404066.0,6459.54,33949.0,279705.86,1397642.0,64322.9,302089.0,126485.79,74147.0,700558.19,335798.0,61767.19,224415.0,1326.91,4961.0,
Ireland,2024,8697.2,,271.2,,1481.31,7183.13,48.83,,493.39,8678.63,145.36,21.89,167.25,12456.8,12400.63,109.04,52.86,242406.23,1759712.0,5499.49,38571.0,290511.0,1500104.0,68780.1,288459.0,230002.07,91814.0,725254.27,383570.0,35382.9,134204.0,283.66,1425.0,
Ireland,2025,,,,,1490.37,6904.82,,36.17,500.49,9097.63,145.36,22.75,168.11,13977.68,13890.01,139.3,51.63,,,,,,,,,,,,,,,,,
Italy,2016,12669.59,95.4,1232.23,,2060.47,6183.18,37.04,131.29,2459.51,10773.15,733.1,348.7,1081.8,50843.43,50666.43,184.0,7.0,7311.62,32659.0,33898.63,122534.0,385866.52,2665573.0,487999.1,1614530.0,50312.16,34920.0,1373709.41,528009.0,1611.14,8794.0,32449.98,95349.0,3794981101.0
Italy,2017,12983.23,91.22,1261.13,,2040.11,6118.29,40.03,132.12,2459.03,11902.24,708.6,353.2,1061.8,52401.14,52239.47,168.17,6.5,6834.28,40196.0,31112.57,180515.0,412854.1,3003224.0,481121.95,1877755.0,66382.47,46269.0,1174689.39,545454.0,1513.84,8611.0,30739.51,101767.0,3675691608.0
Italy,2018,13131.64,97.48,1308.03,,1939.48,6170.29,39.75,141.48,2469.58,12070.75,722.1,362.7,1084.8,54842.66,54706.39,142.48,6.21,9598.69,59047.0,30344.46,186170.0,421129.0,3323315.0,495046.94,1930583.0,46763.65,35686.0,1113711.2,510431.0,2329.64,16147.0,34280.66,119181.0,3633577996.0
Italy,2019,13300.1,94.03,1327.3,25.76,1875.72,6016.06,42.62,136.12,2298.86,11965.01,720.1,351.9,1072.0,54323.74,54178.04,151.98,6.28,10430.87,56383.0,32532.16,153414.0,448203.08,3468676.0,496927.53,1890096.0,40306.76,28495.0,1173759.03,528719.0,3471.74,25126.0,32178.26,115515.0,3599133346.0
Italy,2020,13509.51,92.25,1344.69,,1871.27,6115.87,39.08,135.75,2313.83,11894.79,685.3,342.7,1028.0,54210.18,54074.94,141.34,6.09,12880.08,68879.0,29589.9,125495.0,459528.35,3532189.0,455703.7,1749487.0,42373.51,30651.0,948710.73,433708.0,3040.07,23450.0,31524.33,119839.0,3554260058.0
Italy,2021,13997.97,94.15,1374.23,,1844.37,6173.66,40.89,149.83,2481.46,13042.03,705.6,352.1,1057.7,57940.48,57790.58,155.66,5.76,14608.55,81389.0,37206.44,169716.0,517287.34,4172571.0,477955.21,1970172.0,43441.46,33242.0,692449.73,341283.0,3664.36,30838.0,35111.84,139027.0,3543905592.0
Italy,2022,13971.68,94.46,1359.08,34.88,1865.0,6086.97,55.09,148.57,2521.6,12808.16,707.4,353.3,1060.7,69109.42,68976.97,137.32,4.87,12466.67,88493.0,36244.71,231143.0,562638.91,4608782.0,514351.51,2497870.0,40904.59,32611.0,653582.18,393402.0,3045.51,18598.0,37753.97,188172.0,3551963907.0
Italy,2023,13842.19,94.4,1344.11,35.41,1808.0,5975.0,55.02,150.98,2509.71,12802.08,598.8,313.3,912.1,68268.51,68134.67,139.05,5.21,17587.99,104186.0,40796.49,218068.0,591299.26,5310733.0,558674.07,2644773.0,26043.66,25817.0,816010.13,469196.0,8764.94,40263.0,36870.73,183440.0,
Italy,2024,13973.39,95.37,1358.59,35.57,1764.0,5892.0,58.23,159.89,2467.42,12958.05,594.6,323.0,917.6,70213.96,70088.99,130.03,5.05,14450.23,106152.0,40265.4,262916.0,648319.77,5805028.0,579409.43,2843053.0,23760.35,23982.0,815955.62,476814.0,7529.36,39014.0,31781.47,147685.0,
Italy,2025,,,,,1771.0,5801.0,,165.75,2509.42,12851.33,580.92,330.75,911.68,73560.29,73434.45,131.18,5.35,,,,,,,,,,,,,,,,,
Netherlands,2016,14825.0,248.0,911.0,355.0,1794.0,4244.52,30.59,,,14324.2,87.68,64.35,152.02,30488.19,30579.57,134.8,226.17,,,,,,,,,,,,,,,,,734734015.0
Netherlands,2017,14822.0,248.0,896.0,420.0,1665.0,4096.11,38.28,,,14295.9,89.36,65.93,155.29,32031.91,32125.61,154.58,248.28,,,,,,,,,,,,,,,,,720299561.0
Netherlands,2018,14426.0,247.0,902.0,351.0,1552.0,3897.13,36.22,,,13880.8,91.76,68.13,159.89,31420.89,31524.89,169.67,273.67,,,,,,,,,,,,,,,,,679511638.0
Netherlands,2019,14944.0,229.53,953.26,357.92,1590.0,3749.97,35.87,,,13801.9,91.14,70.13,161.27,32755.31,32862.3,185.49,292.48,,,,,,,,,,,,,,,,,666189888.0
Netherlands,2020,14932.0,220.71,999.6,389.82,1569.0,3766.3,34.62,,,13986.6,88.73,71.87,160.6,31724.4,31796.25,262.49,334.34,,,,,,,,,,,,,,,,,651306999.0
Netherlands,2021,14607.88,217.69,984.05,360.22,1554.0,3731.75,37.74,,,13603.4,88.61,72.41,161.02,34405.55,34768.04,121.48,483.98,,,,,,,,,,,,,,,,,662503163.0
Netherlands,2022,14983.9,214.25,973.58,360.45,1570.0,3766.14,55.53,,,13762.0,84.81,71.89,156.7,40556.2,40925.71,48.48,417.99,,,,,,,,,,,,,,,,,616462954.0
Netherlands,2023,15117.05,206.7,1019.24,344.69,1552.0,3751.78,45.63,,,13893.9,86.09,71.31,157.41,41511.28,41686.8,310.48,486.0,,,,,,,,,,,,,,,,,
Netherlands,2024,14815.69,,1009.16,345.33,1527.0,3693.0,49.84,,,13660.2,85.94,70.84,156.78,41312.5,41636.5,260.0,584.0,,,,,,,,,,,,,,,,,
Netherlands,2025,,,,,1518.11,3551.84,,,,13924.33,83.71,70.81,154.52,42120.06,42459.86,273.0,612.8,,,,,,,,,,,,,,,,,
Poland,2016,13251.56,204.36,805.99,180.28,2129.9,5939.0,25.39,258.72,1658.35,11129.96,1809.0,128.1,1937.1,22405.51,21723.86,681.66,,44735.49,142410.0,11886.33,45855.0,186740.87,543350.0,82339.13,294697.0,516993.1,194628.0,189599.72,62927.0,17701.83,38858.0,13164.77,34185.0,3354843170.0
