country,year,non_salaried_labour_awu,salaried_labour_awu,total_labour_awu
Austria,2016,102.69,18.39,121.07
Austria,2017,102.58,19.24,121.82
Austria,2018,101.52,19.78,121.3
Austria,2019,99.87,20.44,120.31
Austria,2020,101.64,19.97,121.61
Austria,2021,101.01,21.46,122.47
Austria,2022,100.08,20.17,120.25
Austria,2023,98.21,19.87,118.08
Austria,2024,96.35,19.43,115.78
Austria,2025,94.82,19.65,114.47
Belgium,2016,42.46,12.89,55.35
Belgium,2017,41.62,12.65,54.28
Belgium,2018,41.48,12.52,54.0
Belgium,2019,41.17,12.18,53.35
Belgium,2020,39.95,12.26,52.21
Belgium,2021,39.71,12.6,52.31
Belgium,2022,38.65,12.92,51.57
Belgium,2023,37.09,12.71,49.8
Belgium,2024,36.58,12.8,49.39
Belgium,2025,36.58,12.8,49.39
Bulgaria,2016,183.3,70.6,253.9
Bulgaria,2017,165.7,70.2,235.9
Bulgaria,2018,148.1,69.8,217.9
Bulgaria,2019,130.4,69.5,199.9
Bulgaria,2020,112.8,69.1,181.9
Bulgaria,2021,104.0,71.1,175.1
Bulgaria,2022,96.2,73.0,169.2
Bulgaria,2023,86.4,75.0,161.4
Bulgaria,2024,79.7,77.1,156.8
Bulgaria,2025,73.4,79.3,152.7
Croatia,2016,161.0,13.0,174.0
Croatia,2017,159.0,15.0,174.0
Croatia,2018,159.78,15.0,174.78
Croatia,2019,161.38,15.0,176.38
Croatia,2020,157.28,15.0,172.28
Croatia,2021,156.28,15.0,171.28
Croatia,2022,158.31,15.0,173.31
Croatia,2023,157.29,15.0,172.29
Croatia,2024,157.29,14.89,172.18
Croatia,2025,159.05,14.89,173.94
Cyprus,2016,12.05,6.21,18.26
Cyprus,2017,11.61,5.98,17.59
Cyprus,2018,10.41,5.9,16.31
Cyprus,2019,14.87,6.44,21.31
Cyprus,2020,11.61,7.52,19.13
Cyprus,2021,11.64,7.53,19.17
Cyprus,2022,10.56,8.08,18.64
Cyprus,2023,10.0,8.73,18.73
Cyprus,2024,10.09,8.88,18.96
Cyprus,2025,10.19,8.95,19.14
Czechia,2016,29.76,74.73,104.48
Czechia,2017,30.1,74.5,104.6
Czechia,2018,30.27,74.07,104.34
Czechia,2019,29.44,72.59,102.02
Czechia,2020,27.57,67.8,95.37
Czechia,2021,28.26,66.51,94.77
Czechia,2022,25.58,68.35,93.93
Czechia,2023,29.48,65.69,95.18
Czechia,2024,27.74,67.67,95.42
Czechia,2025,27.65,67.53,95.18
Denmark,2016,25.49,29.48,54.98
Denmark,2017,24.88,29.91,54.79
Denmark,2018,24.06,29.73,53.79
Denmark,2019,23.11,29.9,53.01
Denmark,2020,19.42,31.72,51.14
Denmark,2021,17.62,30.85,48.47
Denmark,2022,16.46,30.85,47.31
Denmark,2023,14.73,27.74,42.48
Denmark,2024,14.07,28.06,42.13
Denmark,2025,13.93,27.78,41.71
Estonia,2016,8.3,12.0,20.3
Estonia,2017,7.84,12.49,20.33
Estonia,2018,7.02,13.07,20.09
Estonia,2019,6.1,12.79,18.89
Estonia,2020,6.14,11.14,17.28
Estonia,2021,5.94,10.91,16.85
Estonia,2022,6.11,11.08,17.19
Estonia,2023,5.24,11.31,16.55
Estonia,2024,5.16,11.21,16.37
Estonia,2025,5.06,10.95,16.01
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,3183.53,1624.73,4808.26
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,3110.61,1677.82,4788.44
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,3062.93,1714.72,4777.65
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,3008.38,1718.3,4726.68
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,2864.33,1691.73,4556.06
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,2867.37,1734.94,4602.31
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,2811.27,1732.16,4543.43
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,2809.86,1675.14,4485.58
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,2762.91,1700.34,4463.24
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,2701.79,1731.21,4433.01
Euro area – 21 countries (from 2026),2016,3527.83,1708.33,5236.16
Euro area – 21 countries (from 2026),2017,3435.31,1763.02,5198.34
Euro area – 21 countries (from 2026),2018,3370.81,1799.52,5170.33
Euro area – 21 countries (from 2026),2019,3300.16,1802.8,5102.96
Euro area – 21 countries (from 2026),2020,3134.41,1775.83,4910.24
Euro area – 21 countries (from 2026),2021,3127.65,1821.04,4948.69
Euro area – 21 countries (from 2026),2022,3065.78,1820.16,4885.95
Euro area – 21 countries (from 2026),2023,2896.26,1750.14,4646.98
Euro area – 21 countries (from 2026),2024,2842.61,1777.44,4620.04
Euro area – 21 countries (from 2026),2025,2775.19,1810.51,4585.71
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,7350.73,2345.23,9695.96
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,6861.67,2448.03,9309.7
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,6741.36,2483.1,9224.46
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,6571.83,2476.31,9048.15
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,5634.91,2323.98,7958.89
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,5577.88,2372.42,7950.3
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022,5473.83,2361.6,7835.42
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,5309.83,2281.56,7591.97
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024,5214.48,2304.64,7519.12
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025,5004.44,2346.81,7351.24
European Union - 27 countries (from 2020),2016,7158.12,2246.21,9404.33
European Union - 27 countries (from 2020),2017,6667.24,2347.82,9015.07
European Union - 27 countries (from 2020),2018,6544.88,2382.9,8927.77
European Union - 27 countries (from 2020),2019,6374.23,2378.16,8752.39
European Union - 27 countries (from 2020),2020,5634.91,2323.98,7958.89
European Union - 27 countries (from 2020),2021,5577.88,2372.42,7950.3
European Union - 27 countries (from 2020),2022,5473.83,2361.6,7835.42
European Union - 27 countries (from 2020),2023,5309.83,2281.56,7591.97
European Union - 27 countries (from 2020),2024,5214.48,2304.64,7519.12
European Union - 27 countries (from 2020),2025,5004.44,2346.81,7351.24
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2016,7259.98,2278.47,9538.45
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2017,6767.53,2380.93,9148.47
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2018,6643.46,2415.96,9059.42
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2019,6471.13,2411.86,8882.98
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2020,5731.06,2357.39,8088.45
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2021,5672.61,2404.29,8076.9
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2022,5567.61,2395.38,7962.84
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2023,5403.38,2314.88,7718.84
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2024,5306.25,2338.91,7645.16
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2025,5095.94,2381.52,7477.46
