country,year,cream_direct_consumption_1000t,processed_drinking_milk_1000t,milk_delivered_to_dairies_1000t
Albania,2017,0.21,8.93,57.36
Albania,2018,0.46,13.47,64.39
Albania,2019,0.23,10.15,56.82
Albania,2020,0.29,14.48,56.27
Albania,2021,0.29,12.19,58.94
Albania,2023,0.3,10.06,51.71
Albania,2024,0.31,10.7,53.17
Albania,2025,0.22,14.49,
Austria,2016,75.31,786.34,3091.48
Austria,2017,74.22,781.97,3199.62
Austria,2018,73.53,796.29,3182.84
Austria,2019,72.94,784.77,3139.8
Austria,2020,69.9,829.83,3137.16
Austria,2021,69.99,765.73,3153.83
Austria,2022,71.43,751.04,3247.05
Austria,2023,72.27,708.54,3242.85
Austria,2024,71.32,674.51,3381.56
Austria,2025,72.17,694.11,3503.31
Belgium,2016,233.67,688.77,3881.51
Belgium,2017,234.68,678.26,4025.41
Belgium,2018,246.45,673.13,4178.89
Belgium,2019,253.97,676.46,4288.22
Belgium,2020,232.83,717.45,4431.0
Belgium,2021,257.53,648.58,4380.84
Belgium,2022,263.51,642.83,4513.38
Belgium,2023,274.49,638.46,4661.13
Belgium,2024,276.75,630.14,4626.53
Belgium,2025,271.37,611.92,4511.54
Bosnia and Herzegovina,2016,23.89,125.46,242.78
Bosnia and Herzegovina,2017,22.55,131.94,256.19
Bosnia and Herzegovina,2018,22.62,137.58,262.5
Bosnia and Herzegovina,2019,22.51,151.28,260.76
Bosnia and Herzegovina,2020,21.44,163.15,271.57
Bosnia and Herzegovina,2023,23.99,122.05,260.21
Bosnia and Herzegovina,2024,22.53,125.54,255.39
Bulgaria,2016,2.21,68.36,530.09
Bulgaria,2017,2.34,66.11,592.49
Bulgaria,2018,2.76,74.97,648.8
Bulgaria,2019,2.79,74.9,658.77
Bulgaria,2020,2.87,76.11,694.18
Bulgaria,2021,3.8,77.28,679.06
Bulgaria,2022,3.34,70.38,661.57
Bulgaria,2023,2.87,65.9,689.53
Bulgaria,2024,2.52,72.24,677.18
Bulgaria,2025,2.27,92.36,664.37
Croatia,2016,28.56,223.41,489.66
Croatia,2017,29.26,222.56,476.79
Croatia,2018,29.69,217.55,453.47
Croatia,2019,31.8,224.08,435.59
Croatia,2020,31.69,230.6,434.0
Croatia,2021,30.45,215.33,428.94
Croatia,2022,32.02,231.99,405.43
Croatia,2023,31.88,207.68,377.03
Croatia,2024,31.75,210.77,378.69
Croatia,2025,31.57,212.49,373.45
Cyprus,2016,2.88,63.6,200.23
Cyprus,2017,3.7,61.5,216.38
Cyprus,2018,2.29,58.82,228.29
Cyprus,2019,2.38,56.71,238.18
Cyprus,2020,2.17,55.09,272.06
Cyprus,2021,2.2,54.44,298.11
Cyprus,2022,3.24,56.24,286.25
Cyprus,2023,4.28,53.25,303.91
Cyprus,2024,4.41,55.63,304.45
Cyprus,2025,4.46,56.43,323.68
Czechia,2016,58.28,636.17,2793.2
Czechia,2017,58.97,650.16,2979.34
Czechia,2018,56.84,635.42,3033.02
Czechia,2019,59.25,613.97,3073.49
Czechia,2020,64.1,624.59,3192.02
Czechia,2021,64.5,626.83,3128.74
Czechia,2022,63.32,674.77,3172.61
Czechia,2023,62.68,698.28,3222.94
Czechia,2024,64.2,695.9,3277.25
Czechia,2025,63.6,712.96,3397.22
Denmark,2016,72.8,520.6,5376.29
Denmark,2017,47.2,518.0,5494.18
Denmark,2018,44.9,514.6,5615.21
Denmark,2019,44.1,514.5,5614.69
Denmark,2020,50.3,508.2,5666.5
Denmark,2021,53.5,496.5,5643.85
Denmark,2022,42.5,461.5,5663.98
Denmark,2023,39.8,433.1,5685.49
