Actual,Predicted,Residuals
5121988.0,5211686.917929673,-89698.91792967264
5346685.0,5252140.174659783,94544.82534021698
7983281.0,7550960.383362256,432320.616637744
8446332.0,7707176.138632965,739155.8613670347
3100270.0,3295761.361816884,-195491.36181688402
3485834.0,3174052.0544156893,311781.9455843107
5480999.0,4597681.204322715,883317.7956772847
5974176.0,5034183.322492606,939992.677507394
8255649.0,8433982.842387125,-178333.8423871249
8625234.0,8584051.46675501,41182.53324498981
1986643.0,2341844.3216362754,-355201.3216362754
2103863.0,1989466.7868070905,114396.21319290949
