country,year,milk_prod_1000t,butter_prod_1000t,cheese_prod_1000t,milk_powder_prod_1000t,milk_delivered_to_dairies_1000t,milk_per_cow,dairy_cow_pop_1000,bovine_pop_1000,total_labour_awu,agri_output_basic_price_million_eur,cap_direct_payments_million_eur,Raw milk of cattle_Export value_1000 USD,Butter of cow milk_Export value_1000 USD,Cheese from whole cow milk_Export value_1000 USD,Whole milk powder_Export value_1000 USD,total_dairy_export_value_1000USD,export_per_cow,output_per_labour,milk_prod_growth_pct,export_growth_pct,lag_export_value,dairy_cow_share
France,2016,26065.89,434.23,1918.97,516.27,24453.33,7.166826137882112,3637.02,19559.3,752.91,70485.7,7365.411808,394645.0,334064.0,2917472.0,259515.0,3905696.0,1073.8725660018367,93.61769667025276,,,,0.18594837238551482
France,2017,26006.31,412.72,1919.57,504.57,24629.49,7.2303216156403955,3596.84,19432.72,745.66,73152.38,7193.521695,387469.0,440864.0,3060918.0,295481.0,4184732.0,1163.4468033051232,98.104202987957,-0.22857458540643805,7.144334838144095,3905696.0,0.1850919480134536
France,2018,26022.5,417.41,1907.76,451.82,24542.54,7.321557693227506,3554.23,18736.99,741.08,78139.89,6934.972034,384316.0,487249.0,3271157.0,274410.0,4417132.0,1242.7816995523644,105.44055972364656,0.0622541221726447,5.55352170700536,4184732.0,0.1896905532852395
France,2019,26036.29,419.22,1903.29,470.06,24526.3,7.458523952893455,3490.81,18469.77,734.92,77792.69,6909.822851,331104.0,453927.0,3117875.0,253199.0,4156105.0,1190.58470670131,105.85191585478692,0.05299260255549054,-5.909422675165699,4417132.0,0.1890012707250821
France,2020,26288.53,417.54,1862.1,486.48,24602.21,7.7190252754222355,3405.68,18200.48,717.81,75101.33,6807.76573,328154.0,439690.0,3150066.0,290181.0,4208091.0,1235.6096286204224,104.62563909669691,0.9688016226582219,1.2508346155835737,4156105.0,0.187120339683349
France,2021,25829.08,410.18,1879.63,466.84,24199.49,7.775089327910946,3322.03,17862.57,714.52,81310.16,6853.567799,273843.0,509766.0,3391589.0,335603.0,4510801.0,1357.8447515525145,113.79689861725355,-1.7477203936469565,7.193523143867364,4208091.0,0.1859771578221947
France,2022,25681.54,412.73,1913.64,447.71,24056.73,7.948824771113573,3230.86,17415.61,722.41,97269.11,6903.069499,321831.0,618859.0,3419354.0,347671.0,4707715.0,1457.108943129693,134.64529837626833,-0.5712166286991338,4.365388763547751,4510801.0,0.18551517862423425
France,2023,25050.5,403.97,1907.07,433.69,23435.15,7.915850344435316,3164.6,17038.99,703.85,96984.88,6903.069499,319971.0,643049.0,3806924.0,352044.0,5121988.0,1618.5261960437338,137.79197272146055,-2.457173518410505,8.799874248972174,4707715.0,0.18572697090613938
France,2024,25244.57,398.08,1920.57,439.67,23744.12,8.209135725388434,3075.18,16793.65,699.78,88307.98,6903.069499,326133.0,797442.0,3922171.0,300939.0,5346685.0,1738.6575745159635,126.1939180885421,0.7747150755473831,4.386909926380156,5121988.0,0.18311564192417965
Germany,2016,32687.64,506.93,2233.96,693.69,31972.73,7.750110249662138,4217.7,12563.18,480.0,54163.0,4846.569478,888600.0,467104.0,3361817.0,207353.0,4924874.0,1167.6681603717666,112.83958333333334,,,,0.3357191411728559
