country,year,Butter of cow milk_Export quantity_t,Butter of cow milk_Export value_1000 USD,Butter of cow milk_Import quantity_t,Butter of cow milk_Import value_1000 USD,Cheese from whole cow milk_Export quantity_t,Cheese from whole cow milk_Export value_1000 USD,Cheese from whole cow milk_Import quantity_t,Cheese from whole cow milk_Import value_1000 USD,Raw milk of cattle_Export quantity_t,Raw milk of cattle_Export value_1000 USD,Raw milk of cattle_Import quantity_t,Raw milk of cattle_Import value_1000 USD,Whole milk powder_Export quantity_t,Whole milk powder_Export value_1000 USD,Whole milk powder_Import quantity_t,Whole milk powder_Import value_1000 USD
France,2016,74702.85,334064.0,174665.46,583959.0,601700.26,2917472.0,295365.18,1377085.0,827774.68,394645.0,267741.96,161375.0,85313.31,259515.0,35739.69,95770.0
France,2017,74807.4,440864.0,187257.55,974837.0,609827.27,3060918.0,313756.02,1602319.0,695073.17,387469.0,220518.76,167175.0,81144.07,295481.0,36003.52,107764.0
France,2018,72418.78,487249.0,194351.93,1144286.0,610659.0,3271157.0,328026.73,1752015.0,713772.41,384316.0,162278.98,139781.0,73302.5,274410.0,39473.85,117547.0
France,2019,73951.09,453927.0,195972.6,912672.0,615934.55,3117875.0,342807.35,1771316.0,606901.07,331104.0,165966.35,141125.0,68567.23,253199.0,45350.27,131657.0
France,2020,74614.45,439690.0,180900.36,727462.0,594873.13,3150066.0,364870.43,1937528.0,599534.18,328154.0,135087.36,122292.0,76865.78,290181.0,36569.6,117665.0
France,2021,78835.92,509766.0,189875.55,878179.0,606291.4,3391589.0,470940.94,2191978.0,442582.7,273843.0,97933.77,102953.0,84336.88,335603.0,35341.31,116134.0
France,2022,82712.2,618859.0,205238.92,1368878.0,605330.37,3419354.0,416478.21,2520356.0,461072.78,321831.0,101347.46,164705.0,75337.31,347671.0,30425.46,125156.0
France,2023,85628.72,643049.0,225114.62,1257753.0,601111.6,3806924.0,438862.54,2821118.0,428382.58,319971.0,116125.19,218583.0,71293.98,352044.0,31986.9,124051.0
France,2024,100935.22,797442.0,211487.85,1453895.0,632617.85,3922171.0,467456.41,2961269.0,480535.6,326133.0,109834.46,205112.0,64066.17,300939.0,29211.32,110981.0
Germany,2016,132487.97,467104.0,129519.45,440562.0,1082544.68,3361817.0,779723.58,3701650.0,2233207.16,888600.0,2217041.44,752972.0,65694.18,207353.0,45513.76,119681.0
Germany,2017,128374.26,688034.0,144396.34,702085.0,1115882.96,4070574.0,789188.72,4140454.0,1813004.64,903578.0,2777928.3,1179010.0,68520.2,250097.0,38763.2,125952.0
Germany,2018,119190.35,691452.0,143709.66,814325.0,1131103.58,4202263.0,798713.47,4396436.0,1611315.82,783874.0,2353680.09,1007704.0,64898.96,234932.0,39451.76,124599.0
Germany,2019,137157.53,633853.0,145605.61,703497.0,1167201.67,4143603.0,834778.75,4340684.0,1729352.68,825129.0,2647279.43,1066258.0,64280.49,226084.0,38888.37,128299.0
Germany,2020,135004.02,560440.0,170982.21,692708.0,1207654.87,4381951.0,858804.65,4584582.0,1565156.5,773618.0,2445784.79,1009829.0,59369.79,220093.0,42098.32,144889.0
Germany,2021,131777.33,643606.0,183963.56,816745.0,1248738.12,4890791.0,882602.58,4964665.0,1594746.47,859058.0,2481020.19,1140223.0,62756.66,245754.0,40604.64,157125.0
Germany,2022,120425.73,804266.0,125392.57,772933.0,1206931.36,5713647.0,855797.32,5202319.0,1253537.84,819514.0,2566176.2,1463564.0,83858.9,379643.0,43162.03,201678.0
Germany,2023,132759.53,752612.0,133273.06,789260.0,1304138.37,5919432.0,867624.88,5589304.0,1559006.54,947638.0,2894229.63,1580963.0,82706.33,363599.0,46564.62,203149.0
Germany,2024,130293.27,895005.0,117636.95,755269.0,1330989.11,6195032.0,926744.08,5866938.0,1625080.18,1017895.0,2902602.91,1587870.0,75967.7,338400.0,42552.15,178808.0
Ireland,2016,187417.71,610323.0,6725.2,19583.0,207383.6,671541.0,49558.39,184321.0,18171.62,16333.0,541866.84,165602.0,53115.85,128216.0,4086.81,8043.0
Ireland,2017,200899.33,1018985.0,5321.43,20680.0,215317.83,823062.0,56780.53,229619.0,37717.52,28321.0,697172.67,267753.0,70958.65,216079.0,12455.98,12458.0
Ireland,2018,220803.1,1298177.0,8639.51,40966.0,212985.09,864862.0,63987.7,264160.0,32220.83,26724.0,757810.96,299722.0,59971.16,184875.0,21590.2,17354.0
Ireland,2019,258903.46,1212422.0,11998.48,20530.0,291636.73,1061333.0,68927.52,265627.0,30433.21,24388.0,639990.45,231628.0,56933.92,174046.0,17002.32,17793.0
Ireland,2020,292885.07,1125066.0,19849.77,78021.0,271983.27,1091329.0,74801.34,283494.0,144609.23,63819.0,615152.85,229275.0,74473.57,226654.0,11814.58,20406.0
Ireland,2021,277581.07,1259379.0,18918.7,69098.0,264765.36,1218459.0,83689.37,248517.0,150538.03,82245.0,546759.19,241615.0,56585.59,200063.0,2703.97,6729.0
Ireland,2022,233702.05,1729277.0,7336.5,43857.0,249594.5,1326090.0,64146.77,298180.0,165349.93,96805.0,625655.92,353419.0,48020.58,220760.0,2160.03,8875.0
Ireland,2023,242820.92,1404066.0,6459.54,33949.0,279705.86,1397642.0,64322.9,302089.0,126485.79,74147.0,700558.19,335798.0,61767.19,224415.0,1326.91,4961.0
Ireland,2024,242406.23,1759712.0,5499.49,38571.0,290511.0,1500104.0,68780.1,288459.0,230002.07,91814.0,725254.27,383570.0,35382.9,134204.0,283.66,1425.0
Italy,2016,7311.62,32659.0,33898.63,122534.0,385866.52,2665573.0,487999.1,1614530.0,50312.16,34920.0,1373709.41,528009.0,1611.14,8794.0,32449.98,95349.0
Italy,2017,6834.28,40196.0,31112.57,180515.0,412854.1,3003224.0,481121.95,1877755.0,66382.47,46269.0,1174689.39,545454.0,1513.84,8611.0,30739.51,101767.0
Italy,2018,9598.69,59047.0,30344.46,186170.0,421129.0,3323315.0,495046.94,1930583.0,46763.65,35686.0,1113711.2,510431.0,2329.64,16147.0,34280.66,119181.0
Italy,2019,10430.87,56383.0,32532.16,153414.0,448203.08,3468676.0,496927.53,1890096.0,40306.76,28495.0,1173759.03,528719.0,3471.74,25126.0,32178.26,115515.0
Italy,2020,12880.08,68879.0,29589.9,125495.0,459528.35,3532189.0,455703.7,1749487.0,42373.51,30651.0,948710.73,433708.0,3040.07,23450.0,31524.33,119839.0
Italy,2021,14608.55,81389.0,37206.44,169716.0,517287.34,4172571.0,477955.21,1970172.0,43441.46,33242.0,692449.73,341283.0,3664.36,30838.0,35111.84,139027.0
Italy,2022,12466.67,88493.0,36244.71,231143.0,562638.91,4608782.0,514351.51,2497870.0,40904.59,32611.0,653582.18,393402.0,3045.51,18598.0,37753.97,188172.0
Italy,2023,17587.99,104186.0,40796.49,218068.0,591299.26,5310733.0,558674.07,2644773.0,26043.66,25817.0,816010.13,469196.0,8764.94,40263.0,36870.73,183440.0
Italy,2024,14450.23,106152.0,40265.4,262916.0,648319.77,5805028.0,579409.43,2843053.0,23760.35,23982.0,815955.62,476814.0,7529.36,39014.0,31781.47,147685.0
Netherlands,2016,216959.01,732557.0,128231.44,384367.0,857285.93,3256740.0,308671.15,970452.0,350065.66,222142.0,561423.05,222963.0,189915.49,604565.0,48539.3,100212.0
Netherlands,2017,223336.98,1135158.0,140514.79,658320.0,885547.79,3949827.0,358758.99,1349562.0,576113.43,335430.0,691019.27,347810.0,198417.93,798904.0,47153.04,145195.0
Netherlands,2018,219785.14,1230765.0,169007.51,850081.0,858638.25,3985875.0,366378.06,1413221.0,617430.47,353866.0,714759.29,339676.0,170849.77,703798.0,53352.87,165315.0
Netherlands,2019,238962.03,1098608.0,149967.19,640275.0,891712.32,3955122.0,383049.96,1381256.0,515188.85,285284.0,721723.5,325094.0,155636.28,643157.0,61495.04,187724.0
Netherlands,2020,253556.29,1028834.0,155613.07,592115.0,908247.01,4133821.0,364257.8,1332063.0,278490.22,191904.0,614700.99,296912.0,149016.4,656893.0,50576.75,140713.0
Netherlands,2021,274598.76,1255130.0,173228.77,717679.0,926521.95,4435685.0,367380.23,1436793.0,436757.28,263106.0,728903.62,359844.0,170623.36,684808.0,46341.39,152380.0
Netherlands,2022,261803.36,1635100.0,168528.55,856693.0,1028378.4,5425409.0,395402.64,1756134.0,352117.08,236217.0,1016268.15,579546.0,133362.32,727172.0,42595.46,180798.0
Netherlands,2023,282462.25,1610362.0,159892.31,752438.0,1092886.36,5604595.0,454068.86,1968852.0,661360.96,413497.0,817265.28,515620.0,120831.82,627195.0,39160.03,137597.0
Netherlands,2024,270232.06,1773153.0,134398.8,777889.0,1053717.99,5787320.0,502583.05,2148834.0,664387.35,457134.0,1175862.17,688154.0,115762.49,607627.0,34791.53,129136.0
Poland,2016,44735.49,142410.0,11886.33,45855.0,186740.87,543350.0,82339.13,294697.0,516993.1,194628.0,189599.72,62927.0,17701.83,38858.0,13164.77,34185.0
Poland,2017,59708.13,312613.0,15512.54,90927.0,200174.3,686950.0,91790.99,364521.0,529209.44,259881.0,129402.29,58120.0,18424.36,53446.0,12750.59,42173.0
Poland,2018,65834.82,365498.0,15000.68,90810.0,212926.48,739775.0,89683.2,381583.0,546851.55,280513.0,140739.57,59421.0,14403.77,41412.0,12305.1,41497.0
Poland,2019,55517.39,247204.0,12112.62,58755.0,212548.51,713151.0,100905.93,408886.0,712774.03,331503.0,131802.34,56145.0,23894.82,64303.0,12371.37,39221.0
Poland,2020,55815.56,219063.0,14131.95,58233.0,216384.26,760362.0,93727.75,407954.0,733518.43,355011.0,89627.62,43022.0,26247.72,66469.0,17480.25,57348.0
