Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Indicator Code,Member State Code,Member State Name,Time Period,Data,Flag
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2008,6.256,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2009,5.811,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2022,4.771,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2012,2.79,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2013,2.683,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2010,3.314,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2011,3.183,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2016,4.524,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2018,4.632,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2020,4.696,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2021,4.695,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2007,6.087,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2019,4.692,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2017,4.679,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2005,18.072,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2014,2.994,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2015,4.46,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure coupled payments,Total,billion euro,OID_00_3a,EU,European Union,2006,6.617,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2006,26.613,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2017,33.28,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2005,12.488,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2007,28.06,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2016,33.517,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2010,33.567,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2008,29.538,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2009,30.559,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2014,35.295,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2013,35.781,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2011,34.412,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2012,35.583,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2015,33.128,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2018,33.118,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2019,33.121,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2021,32.598,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2020,32.754,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure decoupled payments,Total,billion euro,OID_00_3b,EU,European Union,2022,32.918,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,BG,Bulgaria,2020,843155562,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,HR,Croatia,2021,364842356,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FR,France,2019,6909822851,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FI,Finland,2015,522194553,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,CZ,Czechia,2022,854590619,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2022,1926783562,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,PT,Portugal,2017,665007652,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2018,3633577996,
