DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2014,357.78,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2015,357.52,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2016,353.05,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2017,346.41,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2018,339.94,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2019,313.89,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2020,287.17,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2021,275.58,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2022,260.96,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2023,230.68,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Albania,2024,222.82,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2014,537.74,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2015,534.1,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2016,539.87,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2017,543.42,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2018,532.87,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2019,524.07,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2020,524.78,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2021,526.46,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2022,550.55,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2023,543.03,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2024,535.81,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Austria,2025,536.22,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2014,216,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2015,217,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2016,215,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2017,206,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2018,200,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2019,193,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2020,191,e,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2021,147.44,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2022,148.52,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bosnia and Herzegovina,2023,147.47,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2014,519.09,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2015,528.78,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2016,530.59,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2017,519.16,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2018,529.25,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2019,537.96,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2020,537.94,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2021,537.25,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2022,543.68,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2023,535.55,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2024,518.36,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Belgium,2025,522.55,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2014,301.71,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2015,282.96,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2016,278.92,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2017,260.78,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2018,244.36,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2019,226.69,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2020,241.94,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2021,230.34,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2022,212.84,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2023,202.41,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2024,189.59,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Bulgaria,2025,184.6,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2015,579.88,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2016,572.34,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2017,567.38,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2018,557.36,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2019,551.76,,
ESTAT:TAG00014(1.0),18/03/26 23:00:00,Annual,November - December,Dairy cows,Thousand heads (animals),Switzerland,2020,541.75,,
