STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,wstatus,Labour force and employment status,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),AT,Austria,2010,,50660,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),AT,Austria,2013,,44190,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),AT,Austria,2016,,39730,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),AT,Austria,2020,,37110,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),AT,Austria,2023,,42170,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BE,Belgium,2010,,17480,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BE,Belgium,2013,,15250,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BE,Belgium,2016,,13970,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BE,Belgium,2020,,12390,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BE,Belgium,2023,,12160,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BG,Bulgaria,2010,,147610,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BG,Bulgaria,2013,,114120,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BG,Bulgaria,2016,,84950,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BG,Bulgaria,2020,,55460,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),BG,Bulgaria,2023,,49540,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CH,Switzerland,2010,,26520,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CH,Switzerland,2016,,21720,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CY,Cyprus,2010,,3770,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CY,Cyprus,2013,,3990,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CY,Cyprus,2016,,3660,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CY,Cyprus,2020,,4540,,,,,
