STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,so_eur,Standard output in Euros,crops,Crops,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2005,,930,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2007,,1060,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2010,,320,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2013,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2016,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2020,,170,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,AT,Austria,2023,,,,,,C,confidential
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2005,,120,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2007,,110,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2010,,50,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2013,,10,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2016,,20,,,,,
