DATAFLOW,LAST UPDATE,freq,agriprod,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Belgium,2016,5502,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Belgium,2017,7321,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Belgium,2018,8708,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Belgium,2019,9601,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Belgium,2020,10364,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2015,0,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2016,373,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2017,212,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2018,969,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2019,187,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2020,151,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2015,19,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2016,22,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2017,23,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2018,28,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2019,17,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Cyprus,2020,13,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2015,6719,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2016,6752,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2017,6697,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2018,7291,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2019,7867,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Czechia,2020,8197,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2015,14305,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2016,16818,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2017,16254,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2018,6643,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2019,17835,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Denmark,2020,18224,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Estonia,2015,2221,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Estonia,2016,2209,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Meat of livestock,Tonne,Estonia,2017,2878,,
