STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,training,Training,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2005,,33580,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2010,,33690,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2013,,31820,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2016,,30060,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2020,,33360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,AT,Austria,2023,,31510,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2005,,12260,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2010,,9160,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2013,,7450,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2016,,9940,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2020,,10550,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BE,Belgium,2023,,8370,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2005,,22860,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2010,,9610,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2013,,3360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2016,,5360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2020,,10000,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,BG,Bulgaria,2023,,13050,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CH,Switzerland,2010,,30580,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CH,Switzerland,2016,,26400,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CH,Switzerland,2020,,24970,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2005,,2630,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2010,,2050,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2013,,2460,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2016,,9400,,,,,
